MUNIC_RES	DIAG_PRINC	QTD
110045	A90	1
120001	A90	154
120001	B418	1
120005	A90	2
120010	A279	1
120010	A303	1
120010	A308	1
120010	A309	1
120010	A90	40
120010	B49	1
120010	B552	1
120010	B559	1
120013	A90	1
120017	A90	5
120017	B551	1
120020	A300	2
120020	A303	2
120020	A308	6
120020	A309	1
120020	A90	9
120020	B350	1
120020	B551	2
120020	B92	2
120025	A90	19
120025	A91	1
120025	B49	1
120025	B670	1
120030	A90	2
120030	B670	1
120030	B829	1
120034	A90	5
120034	B369	1
120034	B448	1
120035	B769	1
120038	A278	1
120038	A90	8
120038	B49	1
120038	B551	1
120038	B552	1
120038	B770	1
120038	B829	2
120040	A278	5
120040	A279	8
120040	A300	3
120040	A301	2
120040	A303	2
120040	A308	2
120040	A309	2
120040	A90	356
120040	A91	16
120040	B353	1
120040	B400	1
120040	B418	1
120040	B49	1
120040	B551	8
120040	B659	1
120040	B670	5
120040	B779	3
120040	B92	7
120042	A308	1
120042	B779	1
120043	B369	1
120045	A278	1
120045	A90	39
120045	B551	1
120050	A279	2
120050	A309	1
120050	A90	70
120050	B358	1
120050	B359	1
120050	B418	1
120050	B488	1
120060	A309	1
120060	A90	3
120060	B551	2
120060	B670	1
120060	B779	2
120070	A90	30
120070	B670	2
120080	A90	5
120080	B770	1
120080	B779	1
130070	A90	4
130070	B438	1
130070	B551	1
130150	B551	1
130165	A309	1
130165	A90	1
260210	A90	1
270020	A90	5
270030	A90	843
270030	A91	18
270040	A279	2
270040	A300	1
270040	A302	1
270040	A90	26
270040	A91	1
270040	B370	5
270040	B372	1
270040	B49	1
270040	B573	1
270050	A279	1
270050	A308	2
270050	A90	2
270050	B381	1
270050	B550	1
270070	A90	1
270080	A90	8
270080	B488	1
270090	A90	3
270100	A91	6
270100	B659	1
270110	A308	1
270110	A90	5
270110	A91	1
270120	A90	3
270130	A279	1
270130	A90	1
270140	A90	2
270140	A91	1
270150	A90	41
270160	A90	1
270170	A279	1
270170	A90	1
270170	A91	1
270180	A300	1
270180	A90	2
270180	B550	1
270190	A308	1
270200	A90	11
270210	A309	1
270210	A90	26
270220	A308	1
270220	A90	1
270230	A90	16
270230	A91	1
270235	A90	53
270240	A90	34
270240	B49	3
270250	A90	10
270250	B550	1
270255	A90	22
270260	A90	18
270280	A90	7
270280	A91	1
270280	B659	2
270280	B839	3
270290	A279	1
270290	A90	199
270290	A91	2
270290	B550	1
270310	A90	66
270320	A90	5
270320	A91	2
270330	A300	1
270330	A90	13
270330	B550	1
270350	A90	1
270360	A279	1
270360	A90	2
270360	B550	2
270370	A90	2
270370	B391	1
270370	B441	1
270380	A90	9
270380	B441	1
270400	A90	25
270400	B559	1
270410	A90	21
270410	A91	1
270420	A90	10
270420	B550	1
270430	A279	23
270430	A300	17
270430	A308	6
270430	A309	1
270430	A90	88
270430	A91	52
270430	B381	2
270430	B390	1
270430	B399	2
270430	B408	1
270430	B441	5
270430	B479	1
270430	B550	2
270430	B573	2
270430	B92	1
270440	A90	8
270450	A300	1
270450	A90	2
270460	A90	3
270470	A279	1
270470	A90	12
270470	A91	1
270470	B381	1
270470	B460	1
270470	B573	1
270500	A90	146
270500	B573	1
270510	A91	1
270520	A279	1
270520	A90	10
270520	A91	1
270520	B381	1
270530	A90	3
270540	A90	2
270550	A90	132
270550	A91	3
270550	B390	1
270550	B408	1
270570	A90	33
270570	A91	1
270570	B651	1
270580	A90	5
270590	A90	7
270600	A90	2
270600	B550	1
270630	A90	157
270630	A91	12
270630	B358	2
270630	B369	1
270630	B488	5
270630	B49	3
270630	B550	2
270630	B659	1
270640	A90	14
270640	B719	1
270640	B779	1
270642	A90	9
270644	A91	1
270650	A90	3
270650	B573	1
270660	A90	3
270670	A279	1
270670	A711	1
270670	A90	73
270670	A91	3
270680	A90	9
270680	A91	1
270680	B550	1
270690	A279	1
270690	A90	105
270690	A91	3
270690	B659	1
270710	A90	1
270720	A90	13
270720	B550	1
270730	A90	2
270740	A279	1
270750	A90	2
270750	A91	1
270750	B550	1
270760	A279	1
270760	A309	1
270760	A90	1
270770	A279	2
270770	A90	62
270770	A91	9
270770	B572	1
270770	B573	1
270770	B658	2
270790	A90	5
270800	A309	1
270800	A90	118
270800	A91	4
270800	B390	1
270800	B573	1
270810	A90	4
270820	A90	3
270830	A279	1
270830	A90	1
270830	B658	1
270840	A90	5
270840	A91	1
270840	B550	4
270850	A279	1
270850	A90	1
270850	B402	1
270860	A90	1
270860	A91	3
270870	A90	1
270880	A90	21
270890	A90	1
270895	A90	1
270900	A90	1
270910	A90	16
270915	A90	15
270915	A91	2
270915	B350	1
270915	B370	1
270915	B379	1
270915	B49	1
270915	B92	1
270920	A90	62
270920	B550	2
270930	A279	4
270930	A301	1
270930	A309	1
270930	A90	80
270930	A91	4
270930	B658	1
270940	A90	3
150030	A279	1
150030	A90	1
150030	B778	1
150050	A308	1
150180	A90	1
150180	B559	1
150310	B369	1
160010	A278	1
160015	A279	1
160020	A90	44
160020	A91	2
160025	A90	1
160027	A308	2
160027	A90	1
160027	B760	1
160030	A278	1
160030	A279	32
160030	A309	1
160030	A90	98
160030	A91	16
160030	B368	1
160030	B370	2
160030	B49	1
160030	B550	1
160030	B571	2
160030	B778	6
160030	B779	1
160040	A279	1
160050	A279	1
160050	A308	1
160050	A90	6
160050	A91	1
160050	B432	1
160050	B778	1
160053	A309	1
160053	A90	8
160053	A91	1
160053	B778	2
160060	A270	1
160060	A279	6
160060	A90	30
160060	A91	2
160060	B369	3
